               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.03405,            0.030625,           0.0049081,              0.8074,             0.71746,               0.725,             0.44668,            0.041868,            0.029903,            0.012089,           0.0058915,           0.0058915,           0.0058915
                  85,            0.037102,            0.027837,           0.0042884,             0.80019,             0.71344,             0.70358,             0.42368,            0.038714,            0.030441,            0.012389,            0.005842,            0.005842,            0.005842
                  86,            0.033278,            0.032202,           0.0046954,             0.83262,               0.705,             0.71965,              0.4412,            0.038547,            0.030471,            0.011641,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031787,            0.033765,           0.0050843,             0.82567,             0.72429,             0.73239,             0.43986,              0.0378,            0.030153,            0.011416,            0.005743,            0.005743,            0.005743
                  88,            0.029972,            0.029237,           0.0042642,             0.81128,             0.74921,             0.72895,             0.42772,            0.042138,            0.029342,            0.011261,           0.0056935,           0.0056935,           0.0056935
                  89,            0.036667,            0.033714,           0.0046395,             0.83515,             0.73532,             0.73641,              0.4512,            0.037322,            0.029516,            0.011303,            0.005644,            0.005644,            0.005644
                  90,             0.03135,            0.027441,           0.0038155,             0.80761,             0.80509,             0.74345,              0.4476,            0.038274,            0.029247,            0.010823,           0.0055945,           0.0055945,           0.0055945
                  91,            0.029398,            0.032577,           0.0042755,             0.79377,             0.81587,             0.73434,             0.45443,            0.038951,            0.029773,            0.011411,            0.005545,            0.005545,            0.005545
                  92,            0.030335,              0.0317,           0.0040029,              0.8087,             0.75589,             0.72807,              0.4375,            0.037679,            0.030062,            0.010936,           0.0054955,           0.0054955,           0.0054955
                  93,            0.033631,            0.033548,           0.0043457,             0.74465,             0.79347,             0.71626,              0.4391,            0.038226,            0.030903,            0.012089,            0.005446,            0.005446,            0.005446
                  94,            0.030864,            0.031325,           0.0045291,             0.77297,             0.75712,             0.70986,              0.4271,            0.038399,            0.031045,            0.012402,           0.0053965,           0.0053965,           0.0053965
